정관사,단어,뜻,중요도,pos,,
,fügen,연결시키다,2,verb,,
,fühlen,"느끼다, 만져서 확인하다",2,verb,,
,führen,"인도하다, 이끌다, 행하다",2,verb,,
der,Führer,"안내인, 지도자",1,noun,,
der,Führerschein,운전면허증,1,noun,,
die,Führung,"안내, 품행",1,noun,,
die,Fülle,"풍부, 풍만",2,noun,,
,füllen,채우다,2,verb,,
der,Füller,만년필,1,noun,,
der,Fund,"발견, 발굴",1,noun,,
das,Fundament,"기초, 토대",1,noun,,
der,Funk,무선전신,1,noun,,
der,Funke,불꽃,2,noun,,
die,Funktion,"기능, 작용",2,noun,,
,funktionieren,기능을 발휘하다,1,verb,,
die,Fürbitte,중재,1,noun,,
die,Furche,"주름, 고랑",1,noun,,
die,Furcht,"두려움, 공포",2,noun,,
,furchtbar,"무서운, 두려운",1,adjective,,
,fürchten,두려워하다,3,verb,,
,fürchterlich,끔찍한,1,adjective,,
die,Fürsorge,"돌봄, 배려",1,noun,,
der,Fürst,"국왕, 영주",1,noun,,
der,Fuß,"발, 다리",3,noun,,
der,Fußball,축구,1,noun,,
der,Fußgänger,보행자,1,noun,,
das,Futter,"(가축) 사료, 먹이",2,noun,,
,füttern,사료(먹이) 주다,1,verb,,
die,Gabe,"선물, 재능",1,noun,,
die,Gabel,포크,3,noun,,
,gähnen,하품하다,2,verb,,
,galant,"친절한, 멋진",1,verb,,
die,Galerie,"회랑, 화랑",1,noun,,
der,Galgen,교수대,1,noun,,
die,Galle,담즙,1,noun,,
der,Gang,"보행, 걸음걸이",2,noun,,
die,Gans,거위,1,noun,,
,ganz,"온전한, 전체의",3,verb,,
,gänzlich,완전한,1,adjective,,
,gar,"준비가 되어있는, 완전한",2,verb,,
die,Garantie,"보증, 담보",1,noun,,
,garantieren,보증하다,1,verb,,
die,Gardine,커튼,2,noun,,
,gären,"발효하다, 끓다",2,verb,,
das,Garn,"실, 그물",2,noun,,
,garstig,"싫은, 더러운",1,adjective,,
der,Garten,"뜰, 정원",3,noun,,
der,Gärtner,원예가,1,noun,,
das,Gas,"가스, 기체",2,noun,,
der,Gasherd,가스레인지,1,noun,,
die,Gasse,골목길,2,noun,,
der,Gast,손님,3,noun,,
die,Gastgeber,주인(역),1,noun,,
das,Gasthaus,"여관, 음식점",1,noun,,
die,Gastliste,초청객 목록,1,noun,,
das,Gastmahl,"향연, 연회",1,noun,,
der,Gatte,"남편, 주인어른",2,noun,,
das,Gatter,울타리,1,noun,,
die,Gattung,종류,1,noun,,
der,Gau,지방,1,noun,,
,gaukeln,팔랑거리다,1,verb,,
der,Gaumen,구강,1,noun,,
der,Gauner,"사기꾼, 도적",1,noun,,
die,Gebärde,"몸짓, 거동, 태도",2,noun,,
,gebaren,"행동하다, 처신하다",1,verb,,
,gebären,"낳다, 분만하다",1,verb,,
das,Gebäude,건물,2,noun,,
,geben,주다,3,verb,,
das,Gebet,"기도, 기도문",1,noun,,
das,Gebiet,"지역, 분야",2,noun,,
,gebieten,"명하다, 요구하다",1,verb,,
,gebildet,교양있는,2,verb,,
das,Gebirge,산맥,2,noun,,
,geboren,타고난,3,verb,,
das,Gebot,명령,2,noun,,
der,Gebrauch,"사용, 습관",2,noun,,
,gebrauchen,사용하다,2,verb,,
,gebrechlich,허약한,1,adjective,,
,gebrochen,끊어진,1,verb,,
die,Gebühr,"요금, 사용료",2,noun,,
,gebühren,~할 만하다,1,verb,,
die,Geburt,"분만, 출산",3,noun,,
der,Geburtstag,생일,1,noun,,
das,Gebüsch,"덤불, 수풀",1,noun,,
der,Geck,"멋쟁이, 자존심 강한사람",1,noun,,
das,Gedächtnis,"기억, 기억력",2,noun,,
der,Gedanke,"생각, 사고, 사상",2,noun,,
,gedeihen,"번영하다, 성공하다",2,verb,,
,gedenken,기억하고 있다,1,verb,,
das,Gedicht,"시, 운문",2,noun,,
,gediegen,"옹골찬, 건실한",1,verb,,
das,Gedränge,군중,1,noun,,
die,Geduld,"인내, 끈기",2,noun,,
,geduldig,참을성이 강한,1,adjective,,
,geeignet,적당한,1,verb,,
die,Gefahr,위험,2,noun,,
,gefährlich,위험한,3,adjective,,
der,Gefährte,"동행자, 동반자",1,noun,,
,gefallen,맘에 들다,3,verb,,
,gefällig,맘에 드는,1,adjective,,
das,Gefängnis,"형무소, 교도소",2,noun,,
das,Gefäß,그릇,1,noun,,
,geflissentlich,고의적으로,1,adjective,,
das,Gefühl,"감정, 느낌",2,noun,,
die,Gegend,"지방, 토지",2,noun,,
,gegeneinander,서로서로,2,verb,,
der,Gegensatz,"대립, 대조",2,noun,,
,gegenseitig,"상대하는, 서로의",1,adjective,,
der,Gegenstand,"사물, 물체, 대상",2,noun,,
das,Gegenteil,반대,2,noun,,
,gegenüber,맞은 편에,3,verb,,
die,Gegenwart,"현재, 오늘날, 현상, 출석",2,noun,,
,gegenwärtig,"현재의, 지금 있는",2,adjective,,
der,Gegner,"반대자, 적",2,noun,,
der,Gehalt,"성분, 내용",2,noun,,
das,Gehege,울타리,1,noun,,
,geheim,비밀의,2,verb,,
das,Geheimnis,"비밀, 신비",2,noun,,
,geheimnisvoll,"신비한, 불가사의한",1,adjective,,
der,Gehilfe,"조수, 종업원",1,noun,,
das,Gehirn,"뇌, 두뇌",2,noun,,
das,Gehör,청각,1,noun,,
,gehorchen,복종하다,2,verb,,
,gehören,~의 소유이다,3,verb,,
,gehorsam,"순종하는, 유순한",2,adjective,,
die,Geige,바이올린,2,noun,,
,geil,호색의,1,verb,,
der,Geisel,"볼모, 인질",1,noun,,
die,Geißel,채찍,1,noun,,
der,Geist,"생명력, 정신",2,noun,,
die,Geisteswissenschaft,정신과학,1,noun,,
,geistig,종교상의,1,adjective,,
der,Geiz,"인색, 탐욕",2,noun,,
,geizig,인색한,1,adjective,,
die,Gelände,"토지, 지형",2,noun,,
das,Geländer,"난간, 손잡이",1,noun,,
,gelangen,다다르다,2,verb,,
,geläufig,"유창한, 능숙한",1,adjective,,
,gelb,노란색의,2,verb,,
das,Geld,"금전, 지폐",3,noun,,
der,Geldschein,지폐,1,noun,,
das,Geldstück,"화폐, 주화",1,noun,,
die,Gelegenheit,기회,2,noun,,
,gelegentlich,"임시의, 그때그때의",1,adjective,,
,gelehrt,배움이 있는,2,verb,,
das,Geleit,"동반, 동행",1,noun,,
das,Gelenk,관절,2,noun,,
der,Geliebte,연인,1,noun,,
,gelind,"부드러운, 느긋한",1,verb,,
,gelingen,"성공하다, 잘 되다",2,verb,,
,gellen,날카롭게 울리다,1,verb,,
,geloben,"굳게 약속하다, 서약하다",1,verb,,
,gelten,"가치가 있다, 유효하다",2,verb,,
die,Geltung,"가치, 통용, 유행",2,noun,,
das,Gemach,(작은) 방,1,noun,,
,gemach,"침착하게, 고요히",1,verb,,
,gemächlich,"쾌적한, 아늑한",1,adjective,,
das,Gemahl,"남편, 주인양반",1,noun,,
das,Gemälde,회화(채색),2,noun,,
,gemäß,~에 따라서,1,verb,,
,gemein,"일반의, 공공의, 야비한",2,verb,,
die,Gemeinde,"공동체, 지방자치단체",2,noun,,
,gemeinsam,공동의,2,adjective,,
die,Gemeinschaft,"공동, 공동사회",2,noun,,
das,Gemüse,야채,3,noun,,
das,Gemüt,"심정, 기분",2,noun,,
,gemütlich,"기분좋은, 느긋한",2,adjective,,
,genau,"면밀한, 엄격한",3,verb,,
,genehmigen,"동의하다, 인가하다",1,verb,,
die,Genehmigung,"재가, 인가",1,noun,,
,geneigt,"경향이 있는, 호의가 있는",1,verb,,
der,General,장군,1,noun,,
die,Generation,세대,2,noun,,
,genesen,"낫다, 회복하다",1,verb,,
,genial,천재적인,1,verb,,
das,Genie,천재적인,2,noun,,
,genießen,"누리다, 향유하다, 먹다, 마시다",2,verb,,
der,Genius,수호신,1,noun,,
der,Genoss,"동무, 동료",1,noun,,
,genug,"충분한, 넉넉한",3,verb,,
,genügen,"충분하다, 족하다",1,verb,,
,genügend,충분한,1,verb,,
der,Genuss,"향유, 기쁨",2,noun,,
die,Geografie,지리학,1,noun,,
die,Geometrie,기하학,1,noun,,
das,Gepäck,"수하물, 배낭",3,noun,,
,gerade,짝수의,1,verb,,
,gerade,"곧은, 반듯한, 똑바로",1,verb,,
,geradeaus,똑바로,3,adverb,,
,gerädert,기진맥진한,1,verb,,
die,Gerage,차고,1,noun,,
das,Gerät,"도구, 기구",2,noun,,
,geraten,"빠지다, 마주치다",2,verb,,
das,Geräusch,"소음, 잡음",2,noun,,
,gerben,다듬다,1,verb,,
,gerecht,정당한,2,verb,,
die,Gerechtigkeit,정당,2,noun,,
das,Gerede,"수다, 소문, 평판",1,noun,,
das,Gericht,"사법기구, 판결, 재판",2,noun,,
,gerichtlich,"사법의, 재판의",1,adjective,,
,gering,"적은, 모자라는",2,verb,,
,gerinnen,응고하다,1,verb,,
der,Germane,게르만사람,1,noun,,
,germanisch,게르만의,1,adjective,,
,gern,"즐겨, 기꺼이",2,verb,,
der,Geruch,"후각, 냄새, 향기",2,noun,,
das,Gerücht,"소문, 풍문",1,noun,,
,gesamt,"전체의, 모든",2,verb,,
der,Gesang,"노래, 가곡",2,noun,,
das,Geschäft,"용무, 일, 영업, 장사",3,noun,,
der,Geschäftsmann,"실업가, 상인",1,noun,,
,geschehen,"일어나다, 생기다",2,verb,,
,gescheit,"영리한, 재치있는",2,verb,,
das,Geschenk,선물,3,noun,,
die,Geschichte,역사,2,noun,,
das,Geschick,"운명, 숙명",1,noun,,
,geschickt,"숙련된, 재치있는",2,verb,,
das,Geschirr,"그릇, 마구",3,noun,,
das,Geschlecht,"성, 종, 세대",2,noun,,
,geschlossen,"닫힌, 폐쇄적인",1,verb,,
der,Geschmack,"취미, 미각",2,noun,,
,geschmacklos,"맛없는, 상스러운",1,adjective,,
,geschmeidig,유연한,1,adjective,,
das,Geschöpf,"피조물, 생물, 인간",1,noun,,
das,Geschrei,"비명, 소란",2,noun,,
das,Geschütz,대포,1,noun,,
,geschwätzig,수다스러운,1,adjective,,
,geschwind,"빠른, 민첩한",1,verb,,
die,Geschwindigkeit,속도,2,noun,,
das,Geschwister,"형제, 자매",3,noun,,
die,Geschwulst,종양,1,noun,,
das,Geschwür,궤양,1,noun,,
der,Gesell,"사나이, 놈, 동무, 장인",1,noun,,
,gesellen,누구의 패가 되다,1,verb,,
,gesellig,사교적인,1,adjective,,
die,Gesellschaft,"회사, 사회",2,noun,,
,gesellschaftlich,"사회의, 공동의",1,adjective,,
das,Gesetz,"법률, 규칙",2,noun,,
das,Gesicht,"얼굴, 용모",3,noun,,
die,Gesinnung,"지조, 성향",2,noun,,
,gespannt,"기대에 부푼, 긴장된",2,verb,,
das,Gespenst,"환영, 유령",2,noun,,
das,Gespinst,"실, 직물",1,noun,,
das,Gespräch,"대화, 회화",2,noun,,
,gesprächig,수다스러운,1,adjective,,
die,Gestalt,"용모, 체구",2,noun,,
,gestalten,형성하다,2,verb,,
das,Geständnis,"자백, 고백",2,noun,,
,gestatten,허용하다,1,verb,,
die,Geste,"몸짓, 제스처",1,noun,,
,gestehen,"고백하다, 자백하다",2,verb,,
das,Gestein,"암석, 광물",1,noun,,
das,Gestell,"가대, 선반",1,noun,,
,gestern,어제,3,verb,,
der,Gesuch,청원,1,noun,,
,gesund,건강한,3,verb,,
die,Gesundheit,건강,2,noun,,
,gesundheitlich,건강상의,1,adjective,,
das,Getränk,"마실 것, 음료",3,noun,,
das,Getreide,"곡물, 곡식",2,noun,,
,getreu,"성실한, 일치하는",1,verb,,
,getrost,"안심하는, 침착한",1,verb,,
das,Gewächs,식물,2,noun,,
die,Gewähr,"보증, 보장",1,noun,,
,gewähren,"승낙하다, 허락하다",2,verb,,
die,Gewalt,"힘, 강제, 폭력",2,noun,,
,gewaltig,"강력한, 유능한",1,adjective,,
das,Gewand,"옷, 외양",1,noun,,
,gewandt,"민첩한, 유능한",2,verb,,
das,Gewebe,"직물, 천",2,noun,,
das,Gewehr,총,2,noun,,
das,Gewerbe,"생업, 직업",2,noun,,
das,Gewerbesteuer,영업세,1,noun,,
das,Gewicht,"무게, 중요",2,noun,,
der,Gewinn,"이득, 이익",2,noun,,
,gewinnen,"이기다, 얻다",3,verb,,
,gewiss,"확실한, 어떤, 어느 정도의",2,adverb,,
das,Gewissen,양심,2,noun,,
,gewissenhaft,양심적인,1,adjective,,
,gewissenmaßen,어느 정도까지,1,verb,,
das,Gewitter,뇌우,2,noun,,
,gewöhnen,"길들이다, 익숙하게 하다",1,verb,,
die,Gewohnheit,"습관, 버릇",2,noun,,
,gewöhnlich,"보통의, 일상의",2,adjective,,
,gewohnt,습관인,2,verb,,
das,Gewürz,양념,1,noun,,
,geziemen,"적당하다, 알맞다(sich)",1,verb,,
die,Gier,"욕망, 열망",1,noun,,
,gierig,"탐욕스러운, 정욕적인",1,adjective,,
,gießen,"붓다, 따르다, 주조하다",2,verb,,
die,Gift,선물,2,noun,,
das,Gift,"독, 독물",2,noun,,
,giftig,유독한,1,adjective,,
,gigantisch,거대한,1,adjective,,
die,Gilde,"조합, 길드",1,noun,,
der,Gipfel,"꼭대기, 정상",2,noun,,
der,Gips,"깁스, 석고",2,noun,,
die,Gitarre,기타,3,noun,,
das,Gitter,"격자, 울타리",2,noun,,
der,Glanz,"광채, 광택",2,noun,,
,glänzen,빛나다,2,verb,,
das,Glas,유리,3,noun,,
,gläsern,유리로 만든,1,verb,,
,glatt,"매끄러운, 순조로운",2,verb,,
der,Glaube(n),"믿음, 신앙",2,noun,,
,glauben,"믿다, 생각하다",3,verb,,
,gleich,"동일한, 곧",3,verb,,
,gleichen,"닮다, 비슷하다",2,verb,,
,gleichfalls,마찬가지로,1,adverb,,
das,Gleichgewicht,"평형, 균형",2,noun,,
,gleichgültig,"무관심한, 중요하지 않은",2,adjective,,
das,Gleichnis,비유,1,noun,,
,gleichsam,"말하자면, 마치, 흡사",1,adjective,,
,gleichzeitig,동시의,1,adjective,,
das,Gleis,"궤도, 레일",3,noun,,
,gleiten,미끄러지다,2,verb,,
der,Gletscher,빙하,1,noun,,
das,Glied,"사지, 마디",2,noun,,
,Gliedmaßen,"사지, 손발",1,verb,,
,glimmen,희미하게 빛나다,1,verb,,
die,Glocke,"종, 방울",2,noun,,
die,Glorie,영광,1,noun,,
das,Glück,"행운, 요행",3,noun,,
,glücklich,"행복한, 행운의",3,adjective,,
der,Glückwunsch,"축하, 축사",2,noun,,
,glühen,작열하다,2,verb,,
die,Glut,"백열, 작열",1,noun,,
die,Gnade,"은혜, 총애",1,noun,,
,gnädig,자비로운,1,adjective,,
das,Gold,"금, 황금",2,noun,,
,golden,금의,2,verb,,
,gönnen,베풀다,2,verb,,
der,Gott,신,2,noun,,
die,Göttin,여신,1,noun,,
,göttlich,신성한,2,adjective,,
der,Götze,우상,1,noun,,
das,Grab,무덤,2,noun,,
,graben,"파다, 캐다",2,verb,,
der,Graben,도랑,1,noun,,
der,Grad,"도, 등급",2,noun,,
der,Gram,"원망, 비탄",1,noun,,
das,Gramm,그램,1,noun,,
die,Grammatik,문법,2,noun,,
,grammatisch,문법의,1,adjective,,
das,Gras,풀,2,noun,,
,grässlich,"끔찍한, 싫은",2,adjective,,
,gratulieren,축하하다,3,verb,,
,grau,회색의,3,verb,,
der,Gräuel,"공포, 전율",1,noun,,
,grausam,"잔혹한, 잔인한",2,adjective,,
,greifen,"잡다, 쥐다",2,verb,,
,grell,"날카로운, 눈부신",1,verb,,
die,Grenze,"경계선, 끝",2,noun,,
der,Grieche,그리스 사람,1,noun,,
고,Griechenland,그리스 ,1,noun,,
,griechisch,그리스의,1,adjective,,
der,Griff,"쥠, 손잡이",2,noun,,
die,Grille,"귀뚜라미, 변덕",1,noun,,
die,Grimasse,찡그린 얼굴,1,noun,,
der,Grimm,"분노, 원한",1,noun,,
,grob,"거친, 두꺼운, 굵은",2,verb,,
der,Groll,원한,1,noun,,
,groß,"큰, 많은, 위대한",3,verb,,
,großartig,광대한,1,adjective,,
die,Größe,"큼, 크기, 신장",2,noun,,
,Großeltern,조부모,1,verb,,
die,Großmutter,조모,3,noun,,
die,Großstadt,대도시,1,noun,,
der,Großvater,조부,3,noun,,
,großzügig,"배포가 큰, 아량있는",1,adjective,,
,grotesk,기괴한,1,verb,,
die,Grube,"구멍, 구덩이",1,noun,,
,grübeln,골똘히 생각하다,1,verb,,
,grün,"녹색의, 초록의",3,verb,,
das,Grün,녹색,1,noun,,
der,Grund,"토지, 토대, 원인, 이유",2,noun,,
,gründen,"기초를 세우다, 창립하다",2,verb,,
die,Grundlage,"토대, 기초",2,noun,,
,gründlich,"근본적인, 철저한",2,adjective,,
,grundlos,"헤아릴 수 없는, 이유없는",1,adjective,,
der,Grundriss,"약도, 평면도, 개요",1,noun,,
der,Grundsatz,"원칙, 주의",2,noun,,
,grundsätzlich,원칙상의,2,adjective,,
das,Grundstück,"토지, 부동산",1,noun,,
der,Grundzug,"특징, 개요",1,noun,,
das,Grüne,"녹색, 초원, 잔디",1,noun,,
die,Gruppe,"무리, 그룹",2,noun,,
der,Gruß,"인사, 절",2,noun,,
,grüßen,인사하다,3,verb,,
,gucken,바라보다,1,verb,,
,gültig,"유효한, 가치있는",2,adjective,,
die,Gunst,"호의, 친절",1,noun,,
,günstig,"호의있는, 유리한",1,adjective,,
die,Gurgel,"목구멍, 식도",1,noun,,
die,Gurke,오이,1,noun,,
der,Gürtel,벨트,2,noun,,
der,Guss,"주조, 주물",1,noun,,
,gut,"좋은, 선량한",3,verb,,
das,Gut,"선, 재산",2,noun,,
die,Güte,"품질, 좋음, 친절",2,noun,,
,gütig,"친절한, 호의있는",1,adjective,,
das,Gymnasium,김나지움,2,noun,,
das,Haar,"털, 머리털",3,noun,,
die,Habe,"재산, 소유물",1,noun,,
der,Habicht,(동물) 매,1,noun,,
,hacken,"쪼개다, 썰다",2,verb,,
der,Hader,"불화, 싸움",1,noun,,
der,Hafen,"항구, 항만",3,noun,,
die,Haft,"구류, 구치",1,noun,,
,haften,"달라붙다, 책임지다(für)",2,verb,,
die,Haftung,"보증, 책임",1,noun,,
der,Hag,울타리,1,noun,,
der,Hagel,우박,2,noun,,
,hager,"마른, 수척한",1,verb,,
der,Hahn,수탉,2,noun,,
das,Hähnchen,수평아리,3,noun,,
der,Hai,상어,1,noun,,
der,Haken,갈고리,2,noun,,
,halb,절반의,3,verb,,
die,Halbinsel,반도,1,noun,,
die,Hälfte,절반,2,noun,,
,hallen,"울리다, 반향하다",1,verb,,
der,Hals,"목, 목덜미",3,noun,,
der,Halt,정지,2,noun,,
,halten,"붙잡다, 유지하다, 행하다",3,verb,,
die,Haltestelle,정류장,3,noun,,
die,Haltung,"자세, 거동",2,noun,,
,hämisch,"음흉한, 악의있는",1,adjective,,
der,Hammer,망치,2,noun,,
die,Hand,손,3,noun,,
der,Handel,"다툼, 분규, 거래",2,noun,,
,handeln,"행하다, 논하다, 상담하다",2,verb,,
der,Händler,상인,1,noun,,
die,Handlung,"행동, 동작",2,noun,,
die,Handschritt,"필체, 글씨체",2,noun,,
der,Handschuh,장갑,2,noun,,
die,Handtasche,핸드백,1,noun,,
das,Handtuch,"타월, 수건",1,noun,,
das,Handwerk,"수공업, 직업",1,noun,,
der,Handwerker,수공업자,1,noun,,
der,Hang,"경향, 성벽",1,noun,,
,hängen,"걸려있다, 정체하다",3,verb,,
die,Harfe,하프,2,noun,,
die,Harke,갈취,1,noun,,
,harmlos,"악의없는, 천진한",2,adjective,,
die,Harmonie,"화음, 조화",1,noun,,
der,Harn,오줌,1,noun,,
der,Harnisch,"갑옷, 투구",1,noun,,
,harren,"고대하다, 기다리다",1,verb,,
,hart,"단단한, 굳은",3,verb,,
die,Härte,"단단함, 견고함",1,noun,,
,hartnäckig,"완고한, 고집센",2,adjective,,
das,Harz,송진,1,noun,,
,haschen,붙잡다,1,verb,,
der,Hase,산토끼,2,noun,,
der,Hass,"미움, 증오",2,noun,,
,hassen,"미워하다, 증오하다",2,verb,,
,hässlich,"추한, 못생긴",3,adjective,,
die,Hast,서두름,2,noun,,
,hastig,성급한,1,adjective,,
die,Haube,두건,1,noun,,
der,Hauch,"입김, 미풍",2,noun,,
,hauchen,"입김내다, 숨 내쉬다",1,verb,,
,hauen,"때리다, 치다, 베다",2,verb,,
der,Haufe,"더미, 무더기",2,noun,,
,häufig,"빈번한, 잦은",3,adjective,,
das,Haupt,머리,2,noun,,
der,Hauptbahnhof,중앙역,3,noun,,
der,Hauptmann,"대위, 단장",1,noun,,
die,Hauptsache,"요점, 본안",2,noun,,
die,Hauptstraße,"간선 도로, 큰거리",1,noun,,
das,Haus,집,3,noun,,
die,Hausfrau,주부,1,noun,,
,häuslich,"집의, 가정의",1,adjective,,
die,Haut,"살갗, 피부",2,noun,,
,heben,"일으키다, 올리다",2,verb,,
die,Hecke,"울타리, 부화",1,noun,,
das,Heer,"군대, 육군",2,noun,,
die,Hefe,효모,1,noun,,
das,Heft,공책,3,noun,,
,heften,"부착시키다, 붙이다",1,verb,,
,heftig,격렬한,2,adjective,,
,hegen,"보호하다, 양육하다",1,verb,,
,hehlen,감추다,1,verb,,
die,Heide,황무지,1,noun,,
,heikel,몹시 까다로운,2,verb,,
,heil,"온전한, 건전한",2,verb,,
das,Heil,"안전, 건전, 건강",1,noun,,
,heilen,"낫다, 치유하다",2,verb,,
,heilig,"거룩한, 신성한",2,adjective,,
die,Heilung,치유,1,noun,,
das,Heim,"자택, 고향, 본국",2,noun,,
,heim,"집으로, 고향으로",1,verb,,
die,Heimat,고향,2,noun,,
das,Heimchen,귀뚜라미,1,noun,,
,heimisch,"고향의, 고향같은",1,adjective,,
die,Heimkehr,귀향,1,noun,,
,heimlich,비밀의,2,adjective,,
das,Heimweh,"향수, 향수병",1,noun,,
die,Heirat,결혼,2,noun,,
,heiraten,결혼하다,3,verb,,
,heiser,목쉰,2,verb,,
,heiß,"뜨거운, 더운",3,verb,,
,heißen,"부르다, 의미하다",3,verb,,
,heiter,"밝은, 갠",2,verb,,
,heizen,데우다,2,verb,,
die,Heizung,"난방, 난방장치",3,noun,,
der,Held,"영웅, 주인공",2,noun,,
die,Heldin,여주인공,1,noun,,
,helfen,"돕다, 유용하다",3,verb,,
,hell,"맑은, 밝은",3,verb,,
der,Helm,헬멧,1,noun,,
das,Hemd,"셔츠, 내의",3,noun,,
,hemmen,"멈추다, 저지하다",1,verb,,
die,Hemmung,"저지, 억제",1,noun,,
der,Hengst,말의 수컷,1,noun,,
der,Henken,손잡이,1,noun,,
,herabsetzen,"내리다, 내려놓다",1,verb,,
,herausfinden,찾아내다,1,verb,,
,herausgeben,"내주다, 출판하다",2,verb,,
,herausgehen,나오다,1,verb,,
,herauskommen,나오다,2,verb,,
,herausnehmen,집어내다,1,verb,,
,herausstellen,밖에 세우다,1,verb,,
,herb,"신랄한, 가혹한",1,verb,,
,herbei,이쪽으로,2,verb,,
die,Herberge,"숙소, 숙박소",1,noun,,
der,Herbst,"가을, 수확",3,noun,,
der,Herd,"아궁이, 레인지",2,noun,,
die,Herde,"가축의 떼, 무리",1,noun,,
,hergeben,"인도하다, 내놓다",1,verb,,
,herkommen,"이쪽으로 오다, 유래하다",1,verb,,
die,Herkunft,"출신, 혈통",1,noun,,
der,Herr,"님, 신사",3,noun,,
der,Herrgott,하느님,1,noun,,
,herrlich,훌륭한,3,adjective,,
die,Herrschaft,"지배권, 통치권",1,noun,,
,herrschen,지배하다,2,verb,,
der,Herrscher,지배자,1,noun,,
die,Herrstellung,"생산, 제조",1,noun,,
,herstellen,"생산하다, 제조하다, 복원하다",2,verb,,
,herüber,이쪽으로,2,verb,,
,herum,"둘레에, 주위에",2,verb,,
,herunter,아래로,2,verb,,
,hervor,밖으로,2,verb,,
,hervoragen,우뚝솟다,1,verb,,
,hervorufen,"야기하다, 불러일으키다",1,verb,,
das,Herz,심장,2,noun,,
,herzlich,충심의,3,adjective,,
der,Herzog,(칭호) 공작,1,noun,,
,hetzen,사냥하다,1,verb,,
das,Heu,건초,2,noun,,
,heucheln,"꾸며대다, ~인체하다",1,verb,,
,heulen,울부짖다,2,verb,,
,heute,오늘,3,verb,,
,heutig,"오늘의, 현대의",1,adjective,,
die,Hexe,마녀,1,noun,,
das,Hieb,"내리침, 타격",1,noun,,
,hierher,이리로,1,verb,,
die,Hilfe,"도움, 조력",2,noun,,
,hilflos,어찌할바를 모르는,1,adjective,,
der,Himmel,하늘,2,noun,,
,himmlisch,하늘의,1,adjective,,
,hinab,아래로,2,verb,,
,hinan,위로,1,verb,,
,hinauf,위쪽으로,2,verb,,
,hinaus,밖으로,2,adverb,,
,hinbringen,가지고 가다,1,verb,,
,hindern,방해하다,1,verb,,
das,Hindernis,방해하다,2,noun,,
,hinein,"안으로, 속으로",2,verb,,
,hingeben,"인도하다, 헌신하다",1,verb,,
,hingehen,가다,2,verb,,
,hinken,절뚝거리다,2,verb,,
,hinlegen,"놓다, 드러눕다",1,verb,,
,hinrichten,사형집행하다,1,verb,,
,hinten,"뒤에, 배후에",3,verb,,
,hintere,뒤의,1,verb,,
,hintereinander,잇달아,2,verb,,
der,Hintergrund,"배경, 배후관계",1,noun,,
,hinterlassen,"뒤에 남기다, 유증하다",1,verb,,
,hinterlegen,맡기다,1,verb,,
,hinüber,저쪽으로,2,verb,,
,hinunter,아래로,2,verb,,
,hinweg,저쪽으로,1,verb,,
,hinweisen,가리키다,1,verb,,
,hinzu,"그쪽으로, 그것에 덧붙여",2,verb,,
das,Hirn,뇌,2,noun,,
der,Hirsch,(숫)사슴,2,noun,,
der,Hirt,"목자, 목동",1,noun,,
die,Historie,역사,1,noun,,
der,Hit,히트,1,noun,,
die,Hitze,"열, 열기",2,noun,,
,hitzig,열렬한,1,adjective,,
,hoch,"높은, 상층의, 아주",3,verb,,
,hochhalten,"높이 평가하다, 높이 들고있다",1,verb,,
der,Hochmut,교만,1,noun,,
,hochmütig,교만한,1,adjective,,
die,Hochschule,대학교,1,noun,,
,höchst,"가장 높은, 최고의",2,verb,,
das,Hochwasser,"홍수, 범람",1,noun,,
die,Hochzeit,결혼식,2,noun,,
,hocken,쪼그리고 앉다,2,verb,,
der,Hode,고환,1,noun,,
der,Hof,"뜰, 안마당, 농가",2,noun,,
,hoffen,"바라다, 기대하다",3,verb,,
,hoffentlich,바라건대,1,adjective,,
die,Hoffnung,기대,2,noun,,
,höflich,"공손한, 예의바른",2,adjective,,
die,Höflichkeit,"공손함, 예의바름",1,noun,,
die,Höhe,"높음, 높이",2,noun,,
die,Hoheit,"주권, 통치권, 위엄",1,noun,,
der,Höhepunkt,"최고점, 정점",2,noun,,
,höher,뛰어난,1,verb,,
,hohl,"속이 빈, 공허한, 오목한",2,verb,,
das,Höhle,"동굴, 굴",2,noun,,
der,Hohn,"조롱, 조소",2,noun,,
,höhnisch,비웃는,1,adjective,,
der,Hoker,노점상인,1,noun,,
,hold,사랑스러운,1,verb,,
,holen,"가져오다, 꺼내다",3,verb,,
die,Hölle,"지옥, 저승",2,noun,,
,höllisch,지옥의,1,adjective,,
das,Holz,"재목, 목재, 장작",3,noun,,
,hölzern,목조의,1,verb,,
der,Honig,벌꿀,2,noun,,
,horchen,"귀기울여듣다, 엿듣다",2,verb,,
,hören,듣다,3,verb,,
der,Hörer,"청취자, 수화기",1,noun,,
der,Horizont,"수평선, 시야",2,noun,,
das,Horn,뿔,2,noun,,
der,Hörsaal,"강당, 강의실",1,noun,,
die,Hose,바지,3,noun,,
das,Hospital,병원,1,noun,,
das,Hotel,호텔,2,noun,,
,hübsch,"예쁜, 귀여운",3,verb,,
der,Hubschrauber,헬리콥터,1,noun,,
der,Huf,발굽,1,noun,,
die,Hüfte,"엉덩이, 히프",2,noun,,
der,Hügel,언덕,2,noun,,
das,Huhn,닭,1,noun,,
,huldigen,충성 맹세하다,1,verb,,
