정관사,단어,뜻,중요도,pos,,
die,Achse,"축, 차축",2,noun,,
die,Achsel,어깨,2,noun,,
,achten,존경하다,2,verb,,
,ächten,추방하다,1,verb,,
,achtlos,부주의한,1,adjective,,
die,Achtung,"주의, 존경",2,noun,,
,ächzen,신음하다,1,verb,,
der,Acker,"전답, 경작지",2,noun,,
der,Ackerbau,농업,1,noun,,
der,Adam,아담,1,noun,,
der,Adel,귀족,1,noun,,
,adelig,귀족의,1,adjective,,
die,Ader,혈관,2,noun,,
,adieu,안녕,1,verb,,
der,Adler,독수리,1,noun,,
die,Administration,행정,1,noun,,
der,Admiral,제독,1,noun,,
die,Adresse,주소,2,noun,,
der,Advokat,변호인,1,noun,,
die,Affäre,사건,1,noun,,
der,Affe,원숭이,2,noun,,
,affizieren,자극하다,1,verb,,
der,Agent,대리인,1,noun,,
die,Agonie,죽음의 고통,1,noun,,
고,Ägypten,이집트,1,verb,,
,ahnen,예감하다,2,verb,,
,ähnlich,"닮은, 비슷한",2,adjective,,
die,Ähnlichkeit,유사,1,noun,,
die,Ahnung,예감,1,noun,,
der,Ahorn,단풍나무,1,noun,,
die,Ähre,이삭,1,noun,,
,akkurat,"면밀한, 정밀한",1,verb,,
der,Akt,행위,2,noun,,
die,Akte,"기록, 서류",2,noun,,
,aktuell,"현실의, 실제의",1,verb,,
,akut,급성의,1,verb,,
,albern,단순한,1,verb,,
,allerdings,"물론, 틀림없이",2,adverb,,
,allerhand,온갖종류의,1,verb,,
,allerlei,각종의,1,verb,,
,allgemein,전반적인,2,verb,,
,alliieren,동맹을 맺다,1,verb,,
,allmählich,"점차적인, 점차로",2,adjective,,
der,Alltag,평일,2,noun,,
,allzu,너무나,1,verb,,
고,Alpe,알프스산맥,1,noun,,
,alt,늙은,3,verb,,
der,Altar,제단,2,noun,,
das,Alter,"나이, 연령",2,noun,,
das,Altertum,고대,2,noun,,
,ältertümlich,고대의,1,adjective,,
,altmodisch,유행에 뒤진,1,adjective,,
die,Ameise,"개미, 근면한사람",2,noun,,
das,Amt,"공직, 관직",3,noun,,
,analog,"비슷한, 유사항",1,verb,,
,anbeißen,베어먹다,1,verb,,
die,Anbetung,숭배,1,noun,,
,anbieten,제안하다,3,verb,,
,anbinden,묶다,2,verb,,
der,Anblick,"바라봄, 주시",2,noun,,
,anblicken,바라보다,1,verb,,
,anbrechen,"뜯다, 뽑다",1,verb,,
,anbringen,"설치하다, 말하다",1,verb,,
die,Andacht,"기도, 예배",1,noun,,
,andächtig,경건한,1,adjective,,
das,Andenken,"추억, 기억, 기념",2,noun,,
,ander,다른,3,verb,,
,ändern,"바꾸다, 고치다",2,verb,,
,anders,"다른 방향으로, 달리",3,adverb,,
die,Änderung,"변화, 변경",1,noun,,
,andeuten,암시하다,2,verb,,
die,Andeutung,암시,1,noun,,
der,Andrang,쇄도,1,noun,,
,aneignen,"취득하다, 습득하다",2,verb,,
,aneinander,나란히,2,verb,,
,anerkannt,"존경받는, 인정받는",1,verb,,
,anerkennen,"존경하다, 인정하다",2,verb,,
der,Anfall,발작,2,noun,,
,anfallen,엄습하다,1,verb,,
der,Anfang,시작,2,noun,,
,anfangen,"시작하다, 착수하다",3,verb,,
,anfassen,붙잡다,1,verb,,
,anfechten,이의를 제기하다,1,verb,,
die,Anfrage,"문의, 조회",1,noun,,
,anführen,이끌다,2,verb,,
die,Angabe,"진술, 보고",1,noun,,
,angeben,"진술하다, 표시하다",2,verb,,
,angeblich,자칭,2,adjective,,
das,Angebot,"제시, 제안, 공급",2,noun,,
,angebracht,"적절한, 타당한",1,verb,,
,angehen,"시작되다, 대항해 싸우다",1,verb,,
,angehören,속하다,2,verb,,
die,Angel,낚시,2,noun,,
,angelegen,중요한,1,verb,,
die,Angelegenheit,"요건, 용무, 사무",2,noun,,
,angeln,낚시질하다,1,verb,,
,angemessen,"걸맞는, 알맞은",2,verb,,
,angenehm,"쾌적한, 유쾌한",3,verb,,
der,Anger,풀밭,1,noun,,
das,Angesicht,"얼굴, 대면",1,noun,,
der,Angestellte,"종업원, 월급쟁이",3,noun,,
,angewöhnen,습관들이다,1,verb,,
,angreifen,"공격하다, 비판하다",2,verb,,
der,Angriff,"공격, 비판",2,noun,,
die,Angst,"공포, 두려움",3,noun,,
,ängstlich,걱정되는,2,adjective,,
der,Anhalt,근거,1,noun,,
,anhalten,"정지시키다, 멈추다",2,verb,,
der,Anhang,부록,1,noun,,
,anhängen,추종하다,1,verb,,
der,Anhänger,"신봉자, 추종자",2,noun,,
,anhören,문의하다,2,verb,,
,ankern,"정박하다, 닻을 내리다",1,verb,,
die,Anklage,"기소, 고소",2,noun,,
,anklagen,기소하다,2,verb,,
der,Anklang,"동감, 유사",1,noun,,
,ankleiden,옷을 입히다,1,verb,,
